,Index,Disruption Date,Location,Type,Description,Cause,Closed Date
13,856,06/15/2025,Persian Gulf,Marine,"USER: Our vessel experienced disruption to all electronic navigation systems (GPS / AIS / RADARs / ECDIS) 15th of June 2025 at 1210 hrs lt / 0910 hrs utc and the signal was completely lost in position: Lat – 26 29.60N / Long – 051 02.16E (off Bahrain Coast).
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/23/2025
114,703,06/15/2024,"YANBU, KSA",Marine,"USER: All GPS receivers (3 GPS fitted on board) lost signal: received alarm on all Navigation Equipment: No GPS Fix. Disruption last exceptionally long (over 30 minutes) in which period there was no any position on Navigational Equipment like on ECDIS, Gyro and ARPA.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/26/2024
133,677,04/07/2024,,Marine,"USER: MV APL EAGLE, 170.0M Geared Containership, 1700 TEU, experienced GPS position anomaly indicative of GPS Spoofing today 12th APRIL 2024, 1200LT (ZD-3)/0900UTC. Sea area: Persian Gulf. 0912Z Position: Latitude: 26-19.9N Long. 051-39.3E Noted similar errors to the previously reported incident 9th November 2023. Presented on ECDIS screen as erratic track. Noted Position errors of more than 0.5nm on ECDIS history track. Suspected interference with Differential signal. Both GPS units appear to be functioning normally, and errors cleared after a few minutes.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/15/2024
159,643,01/23/2024,,Marine,"USER: -At 23/01/2024 15:20:00LMT an alarm sounded on No2 GPS stating (no position fixing) and a message appeared stating that it was unsafe for navigation. During the time of first alarm 12 satellites were observed to be tracked. After 30 minutes and when the gps signal totally lost, observed that 0 satellites were tracked. No1 GPS was still properly working with no alarms and safe navigation indication was enabled. After 30 to 40 minutes the same alarm of no position fixing sounded also on No1 GPS and the position from ECDIS monitor appeared to be on land 50 - 60nm off original psn. The issue commenced at 23/01/2024 15:20:00LMT and lasted until 24/01/2024 00:00:00LMT. Positioning from LAT: 16.900 N & LONG: 040.900 E until LAT: 18.700 N & LONG: 040.3 E. According to the above, GPS loss signal is described as spoofing, both equipment was still on but unable to receive any signal from satellites.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/12/2024
247,588,07/21/2022,,Marine,"On July 21st 2000, Lat 31-14.3N 032-20.9E, MT Badlands Trader, IMO #9700483, transited northbound out of the Suez Canal. Upon departing Suez Canal, a loss of satellite connection caused both GPS units to fail. The vessel was equipped with 2 JRC JRL-7880 GPS units. Each unit is connected to its own antenna and can support all bridge equipment. Both units struggled to regain a fix while moving at 10 kts. The satellite display on the GPS contained 1-3 satellites instead of the average of 10. GPS positions arrived once every 3-5 minutes. The vessel safely navigated the next 30 miles using radar and intermittent GPS fixes. Loss of GPS Affected: • AIS through the loss of Course Over Ground (COG) vector. • ECDIS placed in deduced reckoning (DR) mode to maintain cross track distance and enable safety frame. • Wheelhouse Alarm Panel (WAP) All-call activated. • Radars with date, time & GPS input. • Gyro compass Auto-Latitude input. The loss of signal at the mouth of the Suez Canal forced the Badlands Trader to proceed onwards. The bridge team worked together to escape the dense traffic. Upon emerging from traffic, priority shifted to diagnosing the source of GPS loss. While departing the Port Said Traffic Separation Scheme at 2200, 31-34.3N 032-11.7E, the Badlands Trader called the tanker Violando, IMO # 942985, on channel 16. Violando reported they had GPS problems as well. 5 other unnamed vessels joined in the radio call to confirm their GPS failures. By 0100 July 22nd, Lat 32-01.5N 031-35.6E, the crew optimized the GPS settings to latch onto the growing number of satellites. Both GPS units regained steady fixes. We attribute the loss of GPS to a local loss of signal. Maneuvering delayed the re-acquisition of signal until more satellites became available. Both GPS units continue to fix. The crew will perform position checks against radar ranges and bearings upon sight of land this evening.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/31/2023
248,589,07/21/2022,,Marine,"USER: On July 21st 2000, Lat 31-14.3N 032-20.9E, MT Badlands Trader, IMO #9700483, transited northbound out of the Suez Canal. Upon departing Suez Canal, a loss of satellite connection caused both GPS units to fail. The vessel was equipped with 2 JRC JRL-7880 GPS units. Each unit is connected to its own antenna and can support all bridge equipment. Both units struggled to regain a fix while moving at 10 kts. The satellite display on the GPS contained 1-3 satellites instead of the average of 10. GPS positions arrived once every 3-5 minutes. The vessel safely navigated the next 30 miles using radar and intermittent GPS fixes. Loss of GPS Affected: • AIS through the loss of Course Over Ground (COG) vector. • ECDIS placed in deduced reckoning (DR) mode to maintain cross track distance and enable safety frame. • Wheelhouse Alarm Panel (WAP) All-call activated. • Radars with date, time & GPS input. • Gyro compass Auto-Latitude input.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/31/2023
278,708,06/09/2022,"Norfolk, VA",Marine,"USER: LaBelle 542 at buoy 10 and inbound loss of ECDIS and GPS nav
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/29/2024
287,799,06/09/2022,Etorofu Island,Marine,"USER: Vessel's ECDIS lost GPS Signal .. Other SATCOM equipment was not effected.. Signal was able to be received about 36 hours after outage.. All Electrical Connections were intact ...Power recycled and unit would come back online for about 30 seconds before losing power... All recommended steps were checked before filing report.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/24/2025
380,427,09/25/2021,"Approaches to Tripoli, Lebanon",Marine,"User: One of our company managed vessels, at the time of her approach to the port of Tripoli, Lebanon, experienced erratic behaviour on her various navigation equipment. Both the GPS installed onboard lost satellite signals. The gyro compass started showing an error of around 14 degrees. The vessel route on the ECDIS disappeared, the ECDIS started giving numerous alarms, and the tracked positions on ECDIS, as received from GPS feed, started jumping in all directions. All the equipment stabilized as soon as the vessel entered port limits, but similar erratic behaviour of the navigation equipment was observed during the vessel departure.

NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,10/19/2021
381,425,09/24/2021,"Fortaleza Anchorage,Brazil",Marine,"USER: Vessel at Fortaleza Anchorage. Vessel noticed position fluctuating on the ECDIS. Position verified using GPS2 on ship and found vessel position shifting by 6-9 cables automatically. Presently vessel is using GPS 2 for navigation and out to all devices on the bridge.

NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners or users.",Unknown Interference,10/19/2021
