Index,Disruption Date,Location,Type,Description,Cause,Closed Date
758,10/16/2025,"Easton, Maryland",Automobile,"USER: Upon entering zone listed above, gps directions informed driver to make u-turn and would not correct. Closed Waze app and re-opened Waze.
NAVCEN: Provided user information for help with address, route, and map problems in GPS devices and apps.",Mapping Issue,10/21/2024
886,07/20/2025,Strait Of Hormuz,Marine,"USER: During Strait of Hormuz passage vessel experience GPS interference from 1708 LT (1308 LT) to 2020 LT (1620). Vessel position was showing at IRAN coast, where actual position was at Strait of Hormuz.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/28/2025
883,07/19/2025,Hormuz Straight,None,"USER: GPS Spoofing at hormoz straits
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/28/2025
880,07/14/2025,Southern Red Sea,Marine,"USER: Lack of fix possition. Spoofing experienced. Continous since 1648UTC.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/21/2025
879,07/12/2025,"JEDDAH, Saudi Arabia",Marine,"USER: 12th July 2025 at 1651 utc in position 22 deg 28.25 N and 037 deg 57.32 E both vessel GPS positions showing wrong position and failure of the gps equipment. On 13th july 2025 , 0130 UTC in posn. 21 deg 24.53 N and 038 deg 59.33 E while approaching jeddah, KSA inside port limit both GPS positions became normal and verified.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/21/2025
874,07/06/2025,"Asaluyeh, Iran",Marine,"USER: During the event all GPSs was lost signal and the later position was not correct it was showing that the vessel is in the Iranian land and moving with 19 kn in circle around position 27 28.8171 N 052 28.965, 8E, using stellates 29.25.23.15.12.26.20.21 with SNR 52 and satellite 18 with SNR 35
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/14/2025
872,07/02/2025,Strait of Hormuz,Marine,"USER: Intermittently, ship's AIS signal is appearing on the coast of Iran (usually appears to be Bandar Abbas), which we hereby declare that it is incorrect. Vessel is en route to JUBAIL, SAUDI ARABIA
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/14/2025
871,07/01/2025,Baltic Sea,Marine,"USER: all vessels in the vicinity experienced GPS interference.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/14/2025
869,06/26/2025,Mediterranean Sea,Marine,"USER: Spoofing of GPS for 57 minutes, all vessels in greater area being spoofed.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/07/2025
867,06/25/2025,"Colorado Springs, Colorado",Other,"USER: On the 25th of June, I had a dropped call during operation of my existing telephone call while within the UCCS cyber building. Which was followed up by a missed message and a SOS indication in the top right corner. I tried to resolve the issue by resetting the wireless settings, to include Wi-Fi and cellular/airplane mode options to no avail. 40 mins later, regular service was resumed/restored.
NAVCEN: User report details point to a loss of cellular service as the probable cause of outage. Attempt was made to contact user for more information with negative results.",Insufficient Information,07/07/2025
