Disruption Date/Time,Location,Type,Description,Cause,Closed Date,User,NAVCEN,local_date,location_country_state_or_detail,location_country_state_or_locode,user_country_state_or_detail,user_country_state_or_locode,coalesce,coalesced_country
10/16/2022 14:13:00 CST,Independence,Automobile,USER: My mapping services are constantly searching for GPS in the Kansas City area. The Uber app and Google Maps cannot be used with any accuracy because of the GPS disruption. NAVCEN sent data mapping information.,Mapping Issue,10/25/2022,USER: My mapping services are constantly searching for GPS in the Kansas City area. The Uber app and Google Maps cannot be used with any accuracy because of the GPS disruption. , sent data mapping information.,2022-10-16,US IPM,,US KCK,US KS,US IPM,US
10/06/2022 09:15:00 CST,"Dallas, TX by Southern Methodist University",Other,"USER: For several years now, on and off throughout the week, the area in an approximately 1 mile radius of the provided coordinates experiences GPS disruptions, especially during the afternoon. When these disruptions occur, my phone (two different models) and in-car unit are unable to locate where I am, with the application constantly changing my location on the map, or incorrectly identifying where I am. However, as soon as I exit the problem radius, all issues stop and my mapping applications are able to locate me again. This occurs whether I am using my cell phone independently, or using my car unit in my car has its own GPS antenna which is mounted at the top of my windshield) NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",Insufficient Information,10/25/2022,"USER: For several years now, on and off throughout the week, the area in an approximately 1 mile radius of the provided coordinates experiences GPS disruptions, especially during the afternoon. When these disruptions occur, my phone (two different models) and in-car unit are unable to locate where I am, with the application constantly changing my location on the map, or incorrectly identifying where I am. However, as soon as I exit the problem radius, all issues stop and my mapping applications are able to locate me again. This occurs whether I am using my cell phone independently, or using my car unit in my car has its own GPS antenna which is mounted at the top of my windshield) ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",2022-10-06,US M6S,US TX,,,US M6S,US
09/17/2022 13:00:00 EST,"Navy Yard, Washington DC",None,"USER: Our car navigation system and our mobile phone's GPS (Multiple navigation apps), both mine and my wife's, all indicated loss of GPS signal intermittently over the course of 50 miles from Washington DC I-295 through Harford County I-95. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",Insufficient Information,10/25/2022,"USER: Our car navigation system and our mobile phone's GPS (Multiple navigation apps), both mine and my wife's, all indicated loss of GPS signal intermittently over the course of 50 miles from Washington DC I-295 through Harford County I-95. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users.",2022-09-17,US DC,US WA,US DC,US WA,US DC,US
09/10/2022 09:45:00 CST,Chicago,Automobile,"USER: Both my standalone gps and phone gps report no signal in a usually strong area. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users. No response for additional information.",Insufficient Information,10/25/2022,USER: Both my standalone gps and phone gps report no signal in a usually strong area. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners or users. No response for additional information.",2022-09-10,US CHI,PE ICA,,,US CHI,US
09/07/2022 13:15:00 EST,"I-20 near Columbia, SC",Automobile,"USER: Several times, most recently yesterday, when traveling on I-20 in Columbia, SC in car nav system stops working- screen goes blank, then tries to reset. Map will reappear, but without street names or landmarks, then resets again. This continues until east or west of Columbia, at which point nav system will return to normal operation. NAVCEN sent data mapping information.",Mapping Issue,09/13/2022,"USER: Several times, most recently yesterday, when traveling on I-20 in Columbia, SC in car nav system stops working- screen goes blank, then tries to reset. Map will reappear, but without street names or landmarks, then resets again. This continues until east or west of Columbia, at which point nav system will return to normal operation. ", sent data mapping information.,2022-09-07,US CKP,US SC,US CKP,US SC,US CKP,US
09/01/2022 13:09:31 PST,Porter Ranch,Automobile,USER: GPS is positioning vehicle 200-300 feet east or west of actual location in the Los Angeles area. NAVCEN sent data mapping information.,Mapping Issue,09/13/2022,USER: GPS is positioning vehicle 200-300 feet east or west of actual location in the Los Angeles area. , sent data mapping information.,2022-09-01,US PO4,FJ 11,,,US PO4,US
09/01/2022 16:51:00 Eastern African Time,Mesaieed Main Ship Channel,Marine,"USER: At 1651 while transiting Mesaieed Main Ship Channel the No.2 GPS began showing erratic speed indications (28Knots vs 11.5KTS actual) then the receiver lost its fix. We switched to No.1 GPS. At 1653, No.1 GPS lost its fix. Both GPS units remained out from 1653-1659 (no speed/position data). At 1659 No.1 receiver acquired a fix. At 1701 the No.2 GPS got its fix back. Both screens displayed ""NO FIX"" during this time. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,09/13/2022,"USER: At 1651 while transiting Mesaieed Main Ship Channel the No.2 GPS began showing erratic speed indications (28Knots vs 11.5KTS actual) then the receiver lost its fix. We switched to No.1 GPS. At 1653, No.1 GPS lost its fix. Both GPS units remained out from 1653-1659 (no speed/position data). At 1659 No.1 receiver acquired a fix. At 1701 the No.2 GPS got its fix back. Both screens displayed ""NO FIX"" during this time. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-09-01,QA MES,FR 01,US ME,US ME,QA MES,QA
08/31/2022 21:27:00 China Taiwan Time,Caofeidian anchorage / Bohai Sea – China,Marine,"USER: 31.Aug.2022 / 1327 - 1333 UTC. GPS SHOWS VESSEL'S SPEED BETWEEN 0 - 95 kts JUMPING UP AND DOWN. GPS POSITION INFO RAPIDLY CHANGING AND SHOWN IN RED COLOR. 2 TYPE OF ALARMS ARE RECEIVED: 1. ALARM NO 212 ""LOSS OF POSITION"" 2. ALARM NO 210 ""HDOP EXCEEDED"" 09.01.2022 / 1710 - 1720 UTC: NO ALARM INDICATION BUT POSITION IS JUMPING ABT 0.08NM NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,10/25/2022,"USER: 31.Aug.2022 / 1327 - 1333 UTC. GPS SHOWS VESSEL'S SPEED BETWEEN 0 - 95 kts JUMPING UP AND DOWN. GPS POSITION INFO RAPIDLY CHANGING AND SHOWN IN RED COLOR. 2 TYPE OF ALARMS ARE RECEIVED: 1. ALARM NO 212 ""LOSS OF POSITION"" 2. ALARM NO 210 ""HDOP EXCEEDED"" 09.01.2022 / 1710 - 1720 UTC: NO ALARM INDICATION BUT POSITION IS JUMPING ABT 0.08NM ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2022-005-Various GPS Interference and AIS spoofing. User encouraged to report the issue to the nearest communication authority.",2022-08-31,CN,CN,US IN,US IN,CN,CN
08/18/2022 10:30:00 EST,Cartersville Georgia,Transportation,USER: Tractor trailers on coming in a residential neighborhood. NAVCEN sent data mapping information to report unauthorized vehicle traffic.,Mapping Issue,08/23/2022,USER: Tractor trailers on coming in a residential neighborhood. , sent data mapping information to report unauthorized vehicle traffic.,2022-08-18,US VYZ,US GA,,,US VYZ,US
08/17/2022 06:50:00 EST,"Panama City, Panama",Aviation,"USER: During departure from the Tocumen International Airport (MPTO), climbing through approximately 400 feet AGL, the aircraft lost all GPS guidance. GPS signal was normal on the ground. It was not lost until airborne. GPS guidance on iPad's was still available. It only affected the aircraft system. The pilot returned to base and the GPS unit was replaced. On departure, it occurred again. The pilot returned to base and shifted to a different aircraft. On departure it occurred again. Speaking with the avionics shop, this issue was affecting all aircraft in the area, including airline traffic. The loss of signal seems to occur within a radius of approximately 40nm, centered somewhere within Panama City or the canal zone. This occurrence first took place Wednesday, August 17, and is ongoing. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. Inter-agency partners confirmed known GPS interference in the area.",Unknown Interference,09/13/2022,"USER: During departure from the Tocumen International Airport (MPTO), climbing through approximately 400 feet AGL, the aircraft lost all GPS guidance. GPS signal was normal on the ground. It was not lost until airborne. GPS guidance on iPad's was still available. It only affected the aircraft system. The pilot returned to base and the GPS unit was replaced. On departure, it occurred again. The pilot returned to base and shifted to a different aircraft. On departure it occurred again. Speaking with the avionics shop, this issue was affecting all aircraft in the area, including airline traffic. The loss of signal seems to occur within a radius of approximately 40nm, centered somewhere within Panama City or the canal zone. This occurrence first took place Wednesday, August 17, and is ongoing. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. Inter-agency partners confirmed known GPS interference in the area.",2022-08-17,PA,PA,PA,PA,PA,PA
